Annualisierte CDS Spreads Für Deutschland in Basispunkten

Datum CDSSpreads
24/02/2009 91.71
25/02/2009 90.42
26/02/2009 86.07
27/02/2009 84.57
2/03/2009 86.31
3/03/2009 88.12
4/03/2009 87.85
5/03/2009 87.98
6/03/2009 89.94
9/03/2009 90.16
10/03/2009 87.91
11/03/2009 85.04
12/03/2009 81.90
13/03/2009 76.07
16/03/2009 70.96
17/03/2009 68.89
18/03/2009 67.48
19/03/2009 64.62
20/03/2009 62.98
23/03/2009 60.21
24/03/2009 55.57
25/03/2009 53.69
26/03/2009 52.01
27/03/2009 51.84
30/03/2009 55.60
31/03/2009 57.17
1/04/2009 57.98
2/04/2009 54.83
3/04/2009 48.67
6/04/2009 46.49
7/04/2009 46.75
8/04/2009 47.13
9/04/2009 44.60
10/04/2009 44.60
13/04/2009 44.60
14/04/2009 42.07
15/04/2009 41.48
16/04/2009 40.93
17/04/2009 40.99
20/04/2009 40.79
21/04/2009 43.01
22/04/2009 43.99
23/04/2009 42.33
24/04/2009 42.44
27/04/2009 42.36
28/04/2009 42.04
29/04/2009 41.99
30/04/2009 38.45
1/05/2009 38.26
4/05/2009 38.25
5/05/2009 36.56
6/05/2009 33.25
7/05/2009 27.23
8/05/2009 24.69
11/05/2009 24.94
12/05/2009 25.10
13/05/2009 28.72
14/05/2009 35.01
15/05/2009 34.22
18/05/2009 37.07
19/05/2009 33.99
20/05/2009 32.85
21/05/2009 34.88
22/05/2009 37.70
25/05/2009 37.70
26/05/2009 38.35
27/05/2009 38.38
28/05/2009 40.72
29/05/2009 40.48
1/06/2009 38.41
2/06/2009 34.97
3/06/2009 33.93
4/06/2009 34.88
5/06/2009 34.78
8/06/2009 34.98
9/06/2009 35.06
10/06/2009 34.83
11/06/2009 34.11
12/06/2009 34.62
15/06/2009 35.00
16/06/2009 36.29
17/06/2009 38.04
18/06/2009 37.74
19/06/2009 36.76
22/06/2009 37.02
23/06/2009 37.49
24/06/2009 36.29
25/06/2009 34.72
26/06/2009 35.12
29/06/2009 33.52
30/06/2009 30.21
1/07/2009 30.19
2/07/2009 30.80
3/07/2009 31.59
6/07/2009 33.51
7/07/2009 34.09
8/07/2009 35.74
9/07/2009 35.22
10/07/2009 35.87
13/07/2009 36.35
14/07/2009 35.93
15/07/2009 35.24
16/07/2009 33.03
17/07/2009 32.81
20/07/2009 32.21
21/07/2009 30.29
22/07/2009 30.51
23/07/2009 29.58
24/07/2009 29.57
27/07/2009 28.36
28/07/2009 26.57
29/07/2009 26.99
30/07/2009 25.66
31/07/2009 24.63
3/08/2009 24.49
4/08/2009 23.22
5/08/2009 23.85
6/08/2009 23.19
7/08/2009 24.69
10/08/2009 23.19
11/08/2009 24.45
12/08/2009 25.33
13/08/2009 24.54
14/08/2009 24.63
17/08/2009 25.25
18/08/2009 25.46
19/08/2009 25.93
20/08/2009 25.40
21/08/2009 24.76
24/08/2009 22.01
25/08/2009 22.72
26/08/2009 22.39
27/08/2009 22.53
28/08/2009 22.17
31/08/2009 22.15
1/09/2009 23.93
2/09/2009 23.86
3/09/2009 23.87
4/09/2009 25.16
7/09/2009 25.03
8/09/2009 24.50
9/09/2009 24.48
10/09/2009 23.43
11/09/2009 22.48
14/09/2009 22.83
15/09/2009 22.57
16/09/2009 21.76
17/09/2009 22.03
18/09/2009 22.09
21/09/2009 22.59
22/09/2009 22.44
23/09/2009 22.43
24/09/2009 22.43
25/09/2009 22.40
28/09/2009 22.97
29/09/2009 22.57
30/09/2009 22.47
1/10/2009 22.92
2/10/2009 24.23
5/10/2009 23.46
6/10/2009 22.95
7/10/2009 23.22
8/10/2009 22.71
9/10/2009 22.49
12/10/2009 22.67
13/10/2009 22.72
14/10/2009 22.64
15/10/2009 22.26
16/10/2009 22.22
19/10/2009 22.25
20/10/2009 22.22
21/10/2009 21.96
22/10/2009 21.94
23/10/2009 22.37
26/10/2009 22.21
27/10/2009 22.15
28/10/2009 22.65
29/10/2009 23.20
30/10/2009 23.23
2/11/2009 23.23
3/11/2009 23.48
4/11/2009 23.27
5/11/2009 23.21
6/11/2009 24.16
9/11/2009 24.38
10/11/2009 24.22
11/11/2009 24.24
12/11/2009 24.11
13/11/2009 25.61
16/11/2009 27.49
17/11/2009 26.23
18/11/2009 25.89
19/11/2009 27.56
20/11/2009 26.95
