Jahr	Quartal	BefoerdertePersonen
2004	1	2556.58
2004	2	2439.12
2004	3	2313.78
2004	4	2644.90								
2005	1	2538.20
2005	2	2512.42
2005	3	2392.22
2005	4	2617.81							
2006	1	2641.28
2006	2	2547.43
2006	3	2404.70
2006	4	2663.99			
2007	1	2636.81
2007	2	2565.84
2007	3	2426.48
2007	4	2682.39				
2008	1	2581.96
2008	2	2612.64
2008	3	2494.35
2008	4	2736.47				
2009	1	2706.98
2009	2	2607.11
2009	3	2490.85
2009	4	2750.02				
2010	1	2721.63
2010	2	2621.56
2010	3	2480.56
2010	4	2748.10				
2011	1	2781.66
2011	2	2676.22
2011	3	2543.29
2011	4	2808.04				
2012	1	2782.27
2012	2	2680.69
2012	3	2569.20
2012	4	2821.39				
2013	1	2789.52
2013	2	2710.67
2013	3	2586.58
2013	4	2829.41				
2014	1	2796.29
2014	2	2737.30
2014	3	2606.97
2014	4	2838.62								

